Date,f1,f2,f3
2025-01-03,0.0123543879176141,-0.007909088613353505,-0.02287222685451717
2025-01-06,-0.027859562790463536,0.013939888969165662,0.008828164120534164
2025-01-07,0.034355137913191565,0.02884672526835877,0.021578808131377702
2025-01-08,-0.03649897671848795,-0.012251118575232232,-0.11970635129453093
2025-01-09,0.009338477186682737,-0.012351566060944695,0.05490183740297225
2025-01-10,-2.619014835143394,-0.03630566665456311,0.027894868207073226
2025-01-13,258.287684647709,2.409815682958444,0.00579914679865734
2025-01-14,0.008730002124484472,-0.01156802247836463,-0.04759084918422434
2025-01-15,0.04249427078782644,0.0001101743879806977,0.12783376334463592
2025-01-16,0.0008059361640725363,0.017293320954597825,-0.019769584858131843
2025-01-17,0.02551928330063402,-0.0024507954542104006,0.11448644778274245
2025-01-20,-0.017855679227615415,0.04304001226425937,-0.009566001392477748
2025-01-21,0.013956586748955693,-0.028441035536538747,-0.010460106733528731
2025-01-22,-0.005142412516583379,-0.021851097777156863,-0.010893742230466272
2025-01-23,-0.032295459340695186,-0.01962830257850274,-0.09365304639214392
2025-01-24,-0.006624302998937374,0.018502045745626725,0.048339200577299166
2025-01-27,-0.009118093542955936,-0.006989966111004314,-0.11607616220506962
2025-01-28,-0.002943242141702465,-0.00439676333777194,0.0016856516457872698
2025-01-29,0.010546971677381422,0.003640983263929699,0.04865671413795811
2025-01-30,0.03409439302376481,0.016644745408820737,0.08418340037956941
2025-01-31,-0.019402970632115456,-0.02066661387632606,0.014879704537490318
2025-02-03,0.033793868396861305,-0.01596863338762099,-0.10137165500492845
2025-02-04,0.03449920824176854,0.032290530865743475,0.11065838049146501
2025-02-05,-0.015172198950836083,-7.884476812778492e-05,-0.001984670848432627
2025-02-06,0.01918639056023158,0.004668576814871869,-0.010953427145178895
2025-02-07,0.0068596658618766395,0.009765154608470621,-0.0075376206795915186
2025-02-10,-0.035995896044829945,-0.04848709143665817,0.03383447476702995
2025-02-11,0.00882187767350259,0.008259193769418905,-0.054365574449126125
2025-02-12,-0.020285107195881058,0.050991489218743524,0.05433522179268599
2025-02-13,0.002405626976830663,0.026795604861119413,-0.0154163733105095
2025-02-14,0.008270087279463814,0.000590124212930294,0.04230529242469393
2025-02-17,-0.006586050958071134,-0.001749641441574403,-0.04808726967751768
2025-02-18,-9.29532325121002e-05,0.016253876830696713,-0.00027638103892396217
2025-02-19,0.00872444375074457,-0.01452454036009437,-0.08531713777158767
2025-02-20,-0.006153205559393118,-0.023223931171263795,0.03128745814800641
2025-02-21,0.015355352839084421,0.02102863179201848,0.004295992951092743
2025-02-24,-0.024221096110827713,-0.021719683207853197,-0.12585270873103793
2025-02-25,0.026327333719868562,0.013548962222885983,-0.008530273025041444
2025-02-26,0.0035194471433564827,0.04804166330286181,0.011738927965278909
2025-02-27,-0.02732453138256448,0.0036233504271315727,-0.09402484440422096
2025-02-28,-0.0429393307496077,-0.027739462460271425,-0.14457501064043277
2025-03-03,0.01246776109207573,0.02690862746650065,0.16427924193541552
2025-03-04,0.0017722252993100734,-0.008923930858152726,-0.12818060231163503
2025-03-05,0.009440174940306887,-0.0048983636440934585,0.09073726767120074
2025-03-06,0.008882807940881228,-0.015586610377606232,0.06611443338230429
2025-03-07,0.018451025827634207,-0.0028055534450375447,0.03455436727434346
2025-03-10,-0.04376415705234328,-0.016541870147662834,-0.092883162591303
2025-03-11,-0.031207505895361306,-0.004575142789826351,0.011510209676480584
2025-03-12,-0.009981776526880095,0.00379182277598812,-0.03588361195787665
2025-03-13,-0.0015171444508849635,0.0052680205124427055,-0.08099229022977524
2025-03-14,0.05778098393530499,0.02292462369784022,0.10265922591866769
2025-03-17,0.036727985608843675,0.00061422354858952,0.02949794272027642
2025-03-18,-0.003758062640772891,-0.009421870065108563,-0.039110987895222875
2025-03-19,0.022021282097943597,0.020173624301674124,0.13589312586896427
2025-03-20,0.04061139593708707,0.018479452346138403,-0.0025973252324997913
2025-03-24,-0.0010385709474398318,-0.02591079420497291,-0.07331684960058649
2025-03-25,0.028175262729291155,0.02328378201621517,0.07092583515564885
2025-03-26,0.019176065391018713,0.002887584473569442,0.0037503424635246963
2025-03-27,0.01998416901840511,-0.004068970295540752,-0.02557377220046146
2025-03-28,-0.0037603914511775876,-0.013394592378215012,0.009804671860574793
2025-03-31,-0.019220970768423225,-0.02513247423223918,-0.1430092685026154
2025-04-01,0.05629066048984127,0.03543004884948818,0.19426621217959555
2025-04-02,-0.03668524302725549,-0.004448293031056742,-0.13436665918095697
2025-04-03,-0.11017819888554686,-0.0524676104656786,-0.42571492363690033
2025-04-04,-0.10517930627359152,-0.06394855510273766,-0.5777733273082739
2025-04-07,0.010479704046530328,-0.006463276590263464,0.13601335824246374
2025-04-08,0.08202869577496626,0.06123828973158505,0.2637073120439064
2025-04-09,-0.005396851668489278,-0.0732638289324418,-0.2094857722305548
2025-04-10,0.09002432116125651,0.0738496721314903,0.4164579866112247
2025-04-11,0.020935443921178503,-0.026307943530049883,0.06547471818095138
2025-04-14,0.0736065121652141,0.0289696096487569,0.25261439268810215
2025-04-15,0.03144129518612094,0.024015615966623476,0.06682071471252907
2025-04-16,-0.0028136086734766464,0.01961658333719017,0.008576007006467375
2025-04-17,0.001029220511559569,-0.018847219596234366,0.023740697491380802
2025-04-22,-0.008938092708711569,0.0118621155893129,-0.00023240567553044385
2025-04-23,-0.02839469488807757,0.03519781455605505,-0.007148375087963704
2025-04-24,0.05058053668695744,-0.002832636847954011,0.0603225716030969
2025-04-25,0.024441383181783266,-1.9790889904572924,0.008164454180114696
