Ticker,f1,f2,f3
ABG.JO,-0.00011004254725236929,9.714523638412564e-05,0.10073675628201666
ADH.JO,-5.1090858218416635e-05,-2.891554812389785e-05,0.04542849626910741
AEL.JO,-0.00010211094344625415,-3.2926926609277984e-05,0.055531726304190926
AFE.JO,-0.000155205611298663,4.55812015310586e-05,0.06762218285694144
AFH.JO,-2.726551865684736e-05,4.1691161357452645e-05,0.056189281191632745
AFT.JO,-6.5639111923079e-05,-0.00031245161182502916,0.07936657252086801
AGL.JO,2.312856436138915e-05,-3.577589372365475e-05,0.130804504951264
AHR.JO,0.000126078035453881,-2.5853195729014178e-05,-0.018035966869632564
AIP.JO,-9.318142271083463e-05,-2.6862637980679344e-05,0.07551592463582864
ANG.JO,-8.032482690222613e-05,3.934053004166902e-05,0.06971227679974268
ANH.JO,-0.004794032356681407,0.4980647620261529,-0.050481699104460126
APN.JO,-5.622279589427168e-05,5.5977174418162804e-05,0.10305533980635569
ARI.JO,-7.45020405532196e-05,3.548669239187881e-05,0.1814347589871891
ARL.JO,-3.03399180977081e-05,3.6423576113893054e-06,0.07165901238025864
ATT.JO,-5.070972791794935e-05,1.3386078508976072e-05,0.05470151703142361
AVI.JO,-7.804698160447543e-05,1.7118500415392915e-05,0.07534953010307316
BAW.JO,-3.811254720015176e-05,-4.554494438021318e-06,0.017094537781216577
BID.JO,-0.00012637666761578385,1.039484012614576e-05,0.05255561862938876
BLU.JO,-0.00016534022068204622,-2.0081153497440737e-05,0.08953310073802827
BOX.JO,-6.277048590609689e-05,6.04595734660664e-05,0.07420854985248168
BTI.JO,-7.080230677847493e-05,-1.152006267679176e-06,-0.015572971843106437
BTN.JO,-0.00015489125389362652,1.9036323013244325e-05,0.050278453287519724
BVT.JO,-7.742359609179317e-05,7.80882365346963e-05,0.10219425808657512
BYI.JO,-1.7515720458618888e-05,7.779304924450492e-05,0.05380468950832513
CFR.JO,-4.4786369049332944e-05,-9.298144485235547e-06,0.05057019669362395
CLS.JO,-3.920203909434302e-05,0.00017367614792736157,0.06587815360612771
CML.JO,-7.578810422303943e-05,1.90335334948312e-05,0.10783652401070906
COH.JO,-7.795352171843929e-05,3.263912498018374e-05,0.02443991037369942
CPI.JO,-9.455134452533198e-05,4.125421954559819e-05,0.09471050046042483
CSB.JO,-4.8836481925549866e-05,-0.00012275817534856037,0.041582826732890564
DCP.JO,-4.982462535885553e-05,9.81083233687197e-06,0.06632203640015319
DRD.JO,-0.0002304800836201081,-0.0001788400894297554,0.07446947088882246
DSY.JO,-1.6187914074868432e-05,8.170555252991496e-05,0.07609202861358468
DTC.JO,0.3700211829716996,0.0035148977728319698,-0.02443116387388046
EMI.JO,-0.00011292942284838873,-0.00022893823839792503,0.04776715844991141
EQU.JO,-6.118888640258214e-05,-4.0124038948319746e-05,0.04472093273226895
EXX.JO,-6.933889791403411e-05,4.160765604254298e-05,0.09961222590206958
